tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,ATCZone_pre,thr_distance_nm_pre,ATCZone_fol,thr_distance_nm_fol,ATCZone,thr_distance_nm,min_required_nm,is_below_minima,margin_nm,Aircraft_Type_Preceding,Aircraft_Type_Following,Wake_Pre,Wake_Fol,wake_required_nm,wake_is_below,wake_margin_nm
20520.0,VLG76GZ,VLG68LT,16.03819437987663,6.126158592093592,18.01759602104796,10.40571835305786,4.715152447666598,TMA,4.086625992054745,TWR,0.5579315576375388,TWR,0.5579315576375388,3.0,False,1.7151524476665978,A321,A321,,,,False,
20660.0,VLG68LT,RYR2SY,15.157716977026835,4.055448062951405,18.054664783187487,10.42009425519628,6.992926979747193,TMA,6.328303641055862,TWR,0.5182482506938026,TWR,0.5182482506938026,3.0,False,3.9929269797471934,A321,B738,,,,False,
20728.0,VLG5YL,VLG2QW,16.302166421394553,3.416448095516184,18.24485207453615,10.508513106742695,7.3533267077143725,TMA,6.684574486599682,TWR,0.3085127547816028,TWR,0.3085127547816028,3.0,False,4.3533267077143725,A320,A320,,,,False,
20732.0,VLG5YL,VLG2QW,16.194496643440758,3.1556757385061243,18.13631183793731,10.460787246054435,7.558789611260022,TMA,6.958050316513354,TWR,0.4270672284872584,TWR,0.4270672284872584,3.0,False,4.558789611260022,A320,A320,,,,False,
20736.0,RYR2SY,VLG2QW,16.376722940882676,7.697370550460414,18.00909176127156,10.401710630347496,3.1588104142954614,TMA,2.48821974296067,TWR,0.5673322847416297,TWR,0.5673322847416297,3.0,False,0.1588104142954614,B738,A320,,,,False,
20808.0,RYR2SY,VLG3TC,14.887040438729668,3.7523263442206343,18.06852378694138,10.425655505093433,7.392912713153298,TMA,6.704997732432732,TWR,0.5033361043972681,TWR,0.5033361043972681,3.0,False,4.392912713153298,B738,A321,,,,False,
20900.0,VLG2QW,VLG84ZE,15.589788262812554,1.8332032791277284,18.12131822456886,10.450759058272228,8.98169870091046,TMA,8.365064696930185,TWR,0.444879555884222,TWR,0.444879555884222,3.0,False,5.98169870091046,A320,A320,,,,False,
20904.0,VLG3TC,VLG84ZE,16.077998558366378,6.3953138109885455,17.992112825726124,10.389298746585675,4.428967045969856,TMA,3.817697772236264,TWR,0.5879528270402318,TWR,0.5879528270402318,3.0,False,1.4289670459698556,A321,A320,,,,False,
21072.0,VLG1YW,VLG6FZ,16.378843111509084,6.119330371267964,18.19370045722996,10.486307370860668,4.72907975194844,TMA,4.007858732299854,TWR,0.3642633865197681,TWR,0.3642633865197681,3.0,False,1.72907975194844,A320,A320,,,,False,
21076.0,VLG1YW,VLG6FZ,16.390781922428175,5.850328028179637,18.06941707364486,10.42970271913015,4.877344413819714,TMA,4.268861762758737,TWR,0.5008298109405445,TWR,0.5008298109405445,3.0,False,1.8773444138197144,A320,A320,,,,False,
21132.0,VLG1YW,VLG9VG,16.47771991785092,1.9426862072428173,18.22014264135891,10.492665216281614,8.725719340111796,TMA,8.128853395403706,TWR,0.3376155032052185,TWR,0.3376155032052185,3.0,False,5.725719340111796,A320,A321,,,,False,
21136.0,VLG1YW,VLG9VG,16.46829611877247,1.6624127234154118,18.105197074096463,10.441503012466104,8.93039030730711,TMA,8.408826609604068,TWR,0.4634016943395036,TWR,0.4634016943395036,3.0,False,5.9303903073071105,A320,A321,,,,False,
21140.0,VLG1YW,VLG9VG,16.458186019987796,1.3741108753209,17.97259874206992,10.38326769074478,9.13555430270669,TMA,8.696887020042347,TWR,0.6081928055595112,TWR,0.6081928055595112,3.0,False,6.135554302706691,A320,A321,,,,False,
21224.0,VLG6FZ,VLG94PH,14.64502975979719,3.721731148550629,18.079229996271604,10.433128986858774,7.53900472265724,TMA,6.821410943686567,TWR,0.4904817474709022,TWR,0.4904817474709022,3.0,False,4.53900472265724,A320,A320,,,,False,
21228.0,VLG6FZ,VLG94PH,14.39750329294882,3.6389441607331134,17.944063640229942,10.369420176117831,7.607719611721751,TMA,6.994398402248554,TWR,0.6399045544989922,TWR,0.6399045544989922,3.0,False,4.607719611721751,A320,A320,,,,False,
21296.0,VLG9VG,VLG44WK,16.4276326725912,2.20059523447017,18.22099192946555,10.500710345886464,8.491645793777439,TMA,7.876964212867917,TWR,0.3334576588484783,TWR,0.3334576588484783,3.0,False,5.4916457937774386,A321,A321,,,,False,
21300.0,VLG9VG,VLG44WK,16.419973398384116,1.9233483472577133,18.10927019019684,10.44812066165896,8.690538916730697,TMA,8.153593413412095,TWR,0.4569269959903462,TWR,0.4569269959903462,3.0,False,5.690538916730697,A321,A321,,,,False,
21304.0,VLG94PH,VLG44WK,16.565924563428815,7.277488328242636,17.97728033042382,10.389539859335098,3.4171318138469577,TMA,2.836930827771914,TWR,0.6013264156812361,TWR,0.6013264156812361,3.0,False,0.41713181384695774,A320,A321,,,,False,
21368.0,VLG94PH,VLG2GP,16.452749776434736,3.2558385588165635,18.168590389505034,10.475967394117385,7.421210777750748,TMA,6.825063175904881,TWR,0.3914000264922721,TWR,0.3914000264922721,3.0,False,4.421210777750748,A320,A320,,,,False,
21372.0,VLG94PH,VLG2GP,16.456306665660286,3.010780806283369,18.04347084922038,10.417546424933835,7.574910367469611,TMA,7.068223547263684,TWR,0.529481430602487,TWR,0.529481430602487,3.0,False,4.574910367469611,A320,A320,,,,False,
21464.0,VLG44WK,VLG73LA,13.67424022852465,2.854632243007572,18.017460474072937,10.401156639520352,8.707100123950747,TMA,8.011454247625952,TWR,0.5599686836760103,TWR,0.5599686836760103,3.0,False,5.707100123950747,A321,A20N,,,,False,
21540.0,VLG73LA,EJU86XG,16.702562393325575,7.328405648121802,18.01068938255726,10.400792422063716,3.339274877671732,TMA,2.7584197629167204,TWR,0.5662641572763814,TWR,0.5662641572763814,3.0,False,0.3392748776717318,A20N,A319,,,,False,
21600.0,VLG73LA,BAW47C,16.173890241127083,3.115321074058305,18.13791534795915,10.447087374812272,7.5902695412704695,TMA,7.001022081073273,TWR,0.4314919784808533,TWR,0.4314919784808533,3.0,False,4.5902695412704695,A20N,A319,,,,False,
21604.0,VLG73LA,BAW47C,16.034880752362415,2.836473176869162,18.01316770913581,10.394692936132966,7.812829526660974,TMA,7.2981765635049936,TWR,0.5666066409890944,TWR,0.5666066409890944,3.0,False,4.812829526660974,A20N,A319,,,,False,
21700.0,UAE81W,VLG5RP,39.84174301001754,13.21600456964688,18.170257123873974,10.475221834765708,21.844111117487532,TMA,21.47218046792132,TWR,0.3901937651683633,TWR,0.3901937651683633,3.0,False,18.844111117487532,B77L,A21N,,,,False,
21704.0,BAW47C,VLG5RP,16.166744540015973,7.0082909413119046,18.042882831972587,10.417820422880128,3.891630272293189,TMA,3.207850461049619,TWR,0.5299022339419969,TWR,0.5299022339419969,3.0,False,0.891630272293189,A319,A21N,,,,False,
21776.0,UAE81W,VLG6LC,34.43085914041899,14.567863241347624,18.18551571656754,10.481356594449696,16.751439327234376,TMA,16.384258995837275,TWR,0.3737678569153877,TWR,0.3737678569153877,3.0,False,13.751439327234376,B77L,A321,,,,False,
21780.0,BAW47C,VLG6LC,14.593177796468618,3.793000374032847,18.06117719863005,10.42530475539417,7.484282280914893,TMA,6.775435616624657,TWR,0.5101526415329419,TWR,0.5101526415329419,3.0,False,4.484282280914893,A319,A321,,,,False,
