CAT,SAC,SIC,Time,LAT,LON,H(m),H(ft),RHO,THETA,Mode3/A,FL,TA,TI,BP,RA,TTA,GS,TAR,TAS,HDG,IAS,MACH,BAR,IVV,TN,GS(kt),HDG.1,STAT,callsign,lat,lon,ALT_CORR,X,Y
CAT048,20,129,04:03:47:234,41.28222216,2.25368108,1127.72778618522,3699.89443002792,6.972656,99.129639,1000.0,37.0,4CAD3C,RYR1FB,1014,,,,,,94.570312,214.0,0.348,2016.0,1728,2077,238.04,97.24,"No alert, no SPI, aircraft airbone",RYR1FB,41.28222216,2.25368108,2016.0,25.311359808323434,10.075825222834451
CAT048,20,129,04:03:48:617,41.28511839,2.08230306,7.61973206792027,24.9991217577155,1.292969,223.720093,1421.0,0.25,3424D2,VLG6152,1014,0.703,"65,742",106.0,0,116.0,63.457031,114.0,0.172,-96.0,64,2082,107.36,65.8191,"No alert, no SPI, aircraft airbone",VLG6152,41.28511839,2.08230306,-96.0,17.580776571465258,10.207406117530038
CAT048,20,129,04:03:51:227,41.28175187,2.25951778,1158.20524728205,3799.88610349284,7.238281,99.014282,1000.0,38.0,4CAD3C,RYR1FB,"1013,2",,,,,,88.242188,217.0,0.352,1536.0,1216,2077,239.8,93.8287,"No alert, no SPI, aircraft airbone",RYR1FB,41.28175187,2.25951778,1536.0,25.57480076223676,10.049305288852771
CAT048,20,129,04:03:52:578,41.28593767,2.08495416,7.61984136980027,24.9994803596955,1.175781,221.149292,1421.0,0.25,3424D2,VLG6152,1014,,,,,,63.984375,125.0,0.188,-32.0,32,2082,123.2,65.517,"No alert, no SPI, aircraft airbone",VLG6152,41.28593767,2.08495416,-32.0,17.700124366235805,10.257117768663035
CAT048,20,129,04:03:55:219,41.28212297,2.26544692,1181.06253211387,3874.87719786045,7.5,98.519897,1000.0,38.75,4CAD3C,RYR1FB,"1013,2",,,,,,79.628906,221.0,0.356,1216.0,1088,2077,243.32,84.3311,"No alert, no SPI, aircraft airbone",RYR1FB,41.28212297,2.26544692,1216.0,25.842082277457738,10.073331342892393
CAT048,20,129,04:03:56:547,41.28704244,2.08792587,7.61993601825088,24.9997908861182,1.039062,217.96875,1421.0,0.25,3424D2,VLG6152,1014,,,,,,63.457031,141.0,0.212,-32.0,32,2082,138.38,65.6543,"No alert, no SPI, aircraft airbone",VLG6152,41.28704244,2.08792587,-32.0,17.833851015408133,10.324034160727582
CAT048,20,129,04:03:59:203,41.28298271,2.27136858,1203.91970073059,3949.86791094496,7.757812,97.844238,1000.0,39.5,4CAD3C,RYR1FB,"1013,2",-22.324,"76,289",246.0,"-1,812",244.0,72.246094,224.0,0.364,1248.0,1184,2077,247.06,76.4099,"No alert, no SPI, aircraft airbone",RYR1FB,41.28298271,2.27136858,1248.0,26.10882816249936,10.126701906348737
CAT048,20,129,04:04:00:484,41.28810236,2.09115657,1.79251655936241e-05,5.88096002861857e-05,0.902344,213.129272,1421.0,0.0,3424D2,VLG6152,1014,,,,,,62.578125,153.0,0.232,-544.0,128,2082,151.8,65.462,"No alert, no SPI, aircraft airbone",VLG6152,41.28810236,2.09115657,-544.0,17.979265860403416,10.388316702304827
CAT048,20,129,04:04:03:188,41.28414325,2.2772313,1226.77678931691,4024.85836146248,8.011719,97.086182,1000.0,40.25,4CAD3C,RYR1FB,"1013,2",,,,,,66.09375,227.0,0.368,1248.0,1120,2077,249.48,71.2738,"No alert, no SPI, aircraft airbone",RYR1FB,41.28414325,2.2772313,1248.0,26.37278726317664,10.198127001534234
CAT048,20,129,04:04:04:398,41.28935407,2.09468989,7.62007414735854,25.0002440656198,0.757812,206.092529,1421.0,0.25,3424D2,VLG6152,1014,0.176,"65,566",162.0,"-0,188",162.0,61.523438,159.0,0.24,960.0,1184,2082,162.58,65.6433,"No alert, no SPI, aircraft airbone",VLG6152,41.28935407,2.09468989,960.0,18.13827063087476,10.464179157935392
CAT048,20,129,04:04:07:172,41.28598255,2.28281651,1249.63390246406,4099.84889256019,8.25,96.102905,1000.0,41.0,4CAD3C,RYR1FB,"1013,2",,,,,,60.46875,231.0,0.376,1216.0,992,2077,253.44,63.7372,"No alert, no SPI, aircraft airbone",RYR1FB,41.28598255,2.28281651,1216.0,26.623944302576287,10.310224602096131
CAT048,20,129,04:04:08:281,41.29061146,2.09827691,45.7200990896672,150.000329897344,0.628906,195.78186,1421.0,1.5,3424D2,VLG6152,1014,,,,,,60.46875,161.0,0.244,2176.0,2336,2082,163.02,66.1047,"No alert, no SPI, aircraft airbone",VLG6152,41.29061146,2.09827691,2176.0,18.299689460488548,10.540400296032882
CAT048,20,129,04:04:11:156,41.28825013,2.28831601,1272.49096808117,4174.83926771942,8.484375,95.004272,1000.0,41.75,4CAD3C,RYR1FB,"1013,2",,,,,,57.480469,235.0,0.38,1120.0,1056,2077,257.4,60.1392,"No alert, no SPI, aircraft airbone",RYR1FB,41.28825013,2.28831601,1120.0,26.871045520578416,10.44801754119807
CAT048,20,129,04:04:12:117,41.29173603,2.10169107,91.4400939093903,300.000317701684,0.539062,181.768799,1421.0,3.0,3424D2,VLG6152,1014,,,,,,59.765625,156.0,0.236,2400.0,2496,2082,160.38,66.4728,"No alert, no SPI, aircraft airbone",VLG6152,41.29173603,2.10169107,2400.0,18.45334404715645,10.60861942914758
CAT048,20,129,04:04:15:141,41.29074505,2.29368509,1295.34802593663,4249.82961741394,8.714844,93.878174,1000.0,42.5,4CAD3C,RYR1FB,"1013,2",2.637,"59,59",262.0,"0,156",260.0,57.65625,238.0,0.388,1216.0,1024,2077,260.26,59.4855,"No alert, no SPI, aircraft airbone",RYR1FB,41.29074505,2.29368509,1216.0,27.112153478008985,10.59943057989549
