tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,thr_distance_nm,ATCZone,min_required_nm,is_below_minima,margin_nm
19092.0,DLH03K,VLG593U,16.752086632801127,7.445789782207528,18.06276300290821,10.424406921447904,3.2542330293532453,,TMA,3.0,False,0.2542330293532453
19096.0,VLG4VF,DLH03K,16.548798032826493,0.1027636101134079,16.74008494931876,7.259289149523663,7.159081538902344,,TMA,3.0,False,4.159081538902344
19096.0,DLH03K,VLG593U,16.74008494931876,7.259289149523663,17.921395401916904,10.36133059222899,3.3193607061720454,,TMA,3.0,False,0.31936070617204537
19100.0,VLG4VF,DLH03K,16.691239884387652,-0.1494906230165209,16.729312614316054,7.069053834814779,7.218644860529654,,TMA,3.0,False,4.218644860529654
19100.0,DLH03K,VLG593U,16.729312614316054,7.069053834814779,17.769044148959964,10.285813238129466,3.3806186893742445,,TMA,3.0,False,0.3806186893742445
19104.0,DLH03K,VLG593U,16.71788984784725,6.872172562084081,17.60311015704159,10.207903012291794,3.4511900313157318,,TMA,3.0,False,0.45119003131573177
19108.0,DLH03K,VLG593U,16.707364276493127,6.671658422886331,17.426801535727876,10.129207683084337,3.5316054219959203,,TMA,3.0,False,0.5316054219959203
19112.0,DLH03K,VLG593U,16.697514506861108,6.467577693385827,17.2536741586508,10.046455214364212,3.621833495405775,,TMA,3.0,False,0.6218334954057751
19116.0,DLH03K,VLG593U,16.684937102166437,6.252758290793484,17.0858463246312,9.967199193573952,3.7360138416373507,,TMA,3.0,False,0.7360138416373507
19120.0,DLH03K,VLG593U,16.671207788268717,6.034950369968298,16.922868687891057,9.87845961428606,3.8517394148040203,,TMA,3.0,False,0.8517394148040203
19124.0,DLH03K,VLG593U,16.655773146556808,5.810652916739888,16.76620836085818,9.776922325001538,3.967806567295085,,TMA,3.0,False,0.9678065672950851
19128.0,DLH03K,VLG593U,16.641014620538886,5.5861939512386645,16.652251838657484,9.628897371532084,4.042719037915343,,TMA,3.0,False,1.0427190379153428
19132.0,DLH03K,VLG593U,16.623805467877464,5.351236458103558,16.557504477667468,9.477335666052948,4.126631858446233,,TMA,3.0,False,1.126631858446233
19136.0,DLH03K,VLG593U,16.60837998939976,5.115693584917841,16.5142012968191,9.28805070070312,4.173419883953717,,TMA,3.0,False,1.1734198839537173
19140.0,DLH03K,VLG593U,16.59127415880718,4.877595173287958,16.46937523121351,9.111781649314588,4.235940800142904,,TMA,3.0,False,1.2359408001429042
19144.0,DLH03K,VLG593U,16.573894563248853,4.631800290838166,16.457941822457776,8.924739811839663,4.294505183263087,,TMA,3.0,False,1.2945051832630874
19148.0,DLH03K,VLG593U,16.554926825011595,4.3786839489975,16.45312724125415,8.727883951171886,4.35039122541489,,TMA,3.0,False,1.3503912254148904
